time,x1
190.8724623,196.5
190.9043465,196.5
190.9351499,234.5
190.966171,234.5
190.9978733,234.5
191.0985789,252.5
191.132724,252.5
191.165904,157.5
191.1998894,157.5
191.236963,102.5
191.2706702,102.5
191.3042512,102.5
191.3376837,139.5
191.3719411,139.5
191.4064746,236.5
191.4401655,236.5
191.6438117,219.5
191.6781209,219.5
191.7805455,111.5
191.8144772,111.5
191.8475204,111.5
191.8819532,179.5
191.9157641,179.5
191.9490221,264.5
191.9821734,264.5
192.0834465,223.5
192.1176186,223.5
192.1517811,223.5
192.184931,129.5
192.2176104,129.5
192.2505963,111.5
192.2837768,111.5
192.3171816,134.5
192.3503511,134.5
192.3848648,225.5
192.4180877,225.5
192.5543399,254.5
192.5875518,254.5
192.6211927,164.5
192.6557772,164.5
192.7552178,134.5
192.7891381,134.5
192.8183696,134.5
192.8445385,175.5
192.8731675,175.5
192.8996785,257.5
192.9264238,257.5
193.0448213,222.5
193.0792041,222.5
193.1113961,131.5
193.1453478,131.5
193.1898012,113.5
193.2142057,113.5
193.2701633,173.5
193.3036141,173.5
193.3371129,173.5
193.3714824,256.5
193.4048676,256.5
193.4398637,273.5
193.4732342,273.5
193.5736294,175.5
193.6082985,175.5
193.641655,175.5
193.6750984,121.5
193.7087204,121.5
193.7420685,139.5
193.7764528,139.5
193.8099227,225.5
193.843183,225.5
193.9791152,255.5
194.0139217,255.5
194.0477891,176.5
194.0811467,176.5
194.2159271,120.5
194.2490859,120.5
194.2823222,172.5
194.3161225,172.5
194.5177944,219.5
194.5519183,219.5
194.6512034,123.5
194.6847539,123.5
194.7185466,176.5
194.7522964,176.5
194.7866025,218.5
194.8199792,218.5
194.853132,218.5
194.9529004,250.5
194.9860845,250.5
195.0193758,175.5
195.0534422,175.5
195.086693,123.5
195.1205993,123.5
195.1536219,123.5
195.1867661,136.5
195.2194021,136.5
195.2513428,215.5
195.2844632,215.5
195.4188323,265.5
195.4519329,265.5
195.4856012,213.5
195.518836,213.5
195.6199739,128.5
195.653029,128.5
195.6865511,128.5
195.719914,179.5
195.7535048,179.5
195.7877378,244.5
195.8221309,244.5
196.022917,144.5
196.056926,144.5
196.0913615,127.5
196.1257167,149.5
196.1974468,224.5
196.2778015,270.5
196.3109522,270.5
196.3441536,270.5
196.37727,241.5
196.4104526,241.5
196.4436643,169.5
196.4778826,169.5
196.5121796,169.5
196.5454137,129.5
196.5799408,129.5
196.6135821,154.5
196.6465595,154.5
196.6796017,181.5
196.7139897,181.5
196.7470975,250.5
196.7811196,250.5
196.91447,204.5
196.9473,204.5
196.9810383,141.5
197.0147107,141.5
197.0478277,132.5
197.0809779,132.5
197.1145968,184.5
197.1476955,184.5
197.1806452,184.5
197.2136517,250.5
197.2468162,250.5
197.3471107,231.5
197.3809555,231.5
197.4140928,231.5
197.4477067,167.5
197.4807882,167.5
197.5142939,131.5
197.5470531,131.5
